page_id__geo	page_id_pag	page_title	page_namespace	page_len	last_edit_timestamp	geo_tag_id	gt_primary	gt_lat	gt_lon	gt_country	gt_region	gt_globe	first_edit_timestamp	edits	minor_edits	language
2334439	2334439	Hammersmith_tube_station_(Hammersmith_&_City_and_Circle_lines)	0	8001	20170416150847	276441229	1	51.49427700	-0.22503700	GB		earth	20050729151255	126	51	en
2253176	2253176	North_End_tube_station	0	7658	20170101222338	276441538	1	51.56899000	-0.18232000	GB		earth	20050717181806	60	42	en
1440922	1440922	Morden_College	0	5980	20170413193045	276441775	1	51.46950000	0.01920000	GB	GRE	earth	20050128114737	58	20	en
1441913	1441913	King_George_V_Dock,_London	0	2485	20170403150003	276441806	1	51.50400000	0.06100000	GB		earth	20050128192403	14	17	en
770243	770243	Royal_Liberty_School	0	7500	20170502052317	276441834	1	51.58550000	0.20970000	GB		earth	20040701210622	468	132	en
14666430	14666430	Brentwood,_Essex	0	36585	20170412111509	276441841	1	51.62035500	0.30500600			earth	20020214000705	916	308	en
6552896	6552896	Laleham_Burway	0	4113	20170511005256	276441850	1	51.39280278	-0.50953056	GB		earth	20060819132204	36	9	en
35264709	35264709	Celebrity_Big_Brother_10	0	35531	20170509214235	276442551	1	51.65638889	-0.26722222			earth	20120329184607	922	59	en
2153946	2153946	Park_Royal_&_Twyford_Abbey_tube_station	0	3031	20170302030048	276442762	1	51.53138889	-0.28944444	GB		earth	20050702030617	34	21	en
1158436	1158436	The_Real_World:_London	0	46769	20170213193442	276443213	1	51.51722222	-0.20138889			earth	20041111184354	321	92	en
1438450	1438450	Thames_House	0	6212	20170304085141	276443608	1	51.49397222	-0.12561111	GB		earth	20050127201142	94	44	en
2560041	2560041	Bankside_Pier	0	2206	20170403165757	276444418	1	51.50777800	-0.09916700	GB		earth	20050828111935	37	16	en
13460943	13460943	London_School_of_Business_and_Finance	0	21538	20170511011951	276444540	1	51.50850000	-0.07820000	GB	LND	earth	20070927141815	936	232	en
1154952	1154952	West_End_theatre	0	37974	20170511012033	276444680	1	51.51138889	-0.12805556	GB		earth	20041110185026	2988	335	en
7363898	7363898	Chelsea_and_Westminster_Hospital	0	10446	20170416161020	276444761	1	51.48400000	-0.18200000	GB		earth	20061009100110	113	66	en
112274	112274	The_Blitz	0	120992	20170507175617	276444850	1	51.50690000	-0.12750000			earth	20021018185323	3539	1141	en
2676795	2676795	Shenfield_railway_station	0	10097	20170425115423	276445231	1	51.63070000	0.32970000	GB	ESS	earth	20050914092153	496	80	en
16313135	16313135	Bakerloo_line_extension	0	22474	20170420231241	276445301	1	51.49600000	-0.10100000	GB		earth	20080315192105	108	63	en
4065701	4065701	Lambeth_Walk	0	1457	20131205171304	28388386	1	51.49386978	-0.11436000	GB		earth	20100708025637	6	1	es
2854887	2854887	Multimap	0	1987	20130313133359	38930906	1	51.51453018	-0.10845000			earth	20090902232246	2	4	es
6930394	6930394	Embajadores_de_Chile_en_el_Reino_Unido	104	11504	20160115011822	39071464	1	51.50075531	-0.13145700	BO		earth	20150621205605	7	1	es
769877	769877	The_Curtain	0	4720	20160225225541	41183100	1	51.52444444	-0.08027778	GB		earth	20070218142818	9	12	es
2825187	2825187	Batcave_(discoteca)	0	3887	20160302050113	41187009	1	51.51340000	-0.13260000	GB	WSM	earth	20090824093710	24	9	es
2252616	2252616	Riverbank_Arena	0	2042	20160302221213	41205041	1	51.54944444	-0.02055556			earth	20090125173845	6	37	es
7354892	7354892	Altos_Comisionados_de_Ghana_en_el_Reino_Unido	104	6463	20160608200532	41212630	1	51.56971800	-0.14308900	BO		earth	20160328203944	10		es
2288528	2288528	Crawdaddy_Club	0	1877	20141018145750	41228992	1	51.46361111	-0.30194444			earth	20090204191634	4	10	es
2427026	2427026	Casa_de_Tuvalu	0	2193	20140816054015	41229133	1	51.41200000	-0.22450000	GB	MRT	earth	20090411173257	2	4	es
2434301	2434301	Ronan_Point	0	958	20130310044601	41229137	1	51.51360000	0.02260000	GB	NWM	earth	20090414205209	3	7	es
4211954	4211954	Dingwalls	0	971	20150615220422	41230213	1	51.54130000	-0.14580000	GB	CMD	earth	20100925032309	2	2	es
4114041	4114041	Naval_and_Military_Club	0	1722	20140502122532	45984506	1	51.50800000	-0.13480000	GB		earth	20100802050707	2	5	es
110451	110451	Scotland_Yard	0	4086	20160913084337	47076149	1	51.49861111	-0.13305556	GB		earth	20050303232744	90	59	es
316514	316514	Lago_Serpentine	0	1836	20160715052236	47087902	1	51.50527778	-0.16944444	GB		earth	20060307044109	17	20	es
344398	344398	Palacio_de_Nonsuch	0	3568	20160807091116	47089849	1	51.35414500	-0.23895800	GB		earth	20060406135716	12	22	es
365689	365689	Marlborough_House	0	1417	20160225160549	47090771	1	51.50500000	-0.13583333	GB		earth	20060429192102	16	23	es
